,Time,Amount signed,Amount,Type
0,2022-02-14,890610.824139,853956.7899999999,pLuna unused
1,2022-02-15,213620.887294,1035295.6,pLuna unused
2,2022-02-16,36275.244129,1069495.49,pLuna unused
3,2022-02-17,390554.87000500003,1466386.6600000001,pLuna unused
4,2022-02-18,19638.781506,1493580.82,pLuna unused
5,2022-02-19,9064.300172,1503400.7,pLuna unused
6,2022-02-20,5243.9169790000005,1513090.9000000001,pLuna unused
7,2022-02-21,-5321.983477,1511733.02,pLuna unused
8,2022-02-22,2105.9475759999996,1521222.4100000001,pLuna unused
9,2022-02-23,4916.502091,1527974.8,pLuna unused
10,2022-02-24,59.87308000000019,1530197.2999999998,pLuna unused
11,2022-02-25,4427.881713,1535063.25,pLuna unused
12,2022-02-26,32790.448773,1567034.68,pLuna unused
13,2022-02-27,862.6480180000005,1568072.38,pLuna unused
14,2022-02-28,-740.056402,1570043.4200000002,pLuna unused
15,2022-03-01,-406.14769400000006,1570420.98,pLuna unused
16,2022-03-02,201313.625464,1769771.34,pLuna unused
17,2022-03-03,1107.788912,1769056.1400000001,pLuna unused
18,2022-03-04,2957.8325449999998,1772796.96,pLuna unused
19,2022-03-05,8202.863348,1777786.58,pLuna unused
20,2022-03-06,35123.363945,1810514.8499999999,pLuna unused
21,2022-03-07,267274.641947,2079277.39,pLuna unused
22,2022-03-08,97085.255618,2173629.8000000003,pLuna unused
23,2022-03-09,257805.870022,2429882.49,pLuna unused
24,2022-03-10,65275.352172,2494179.1199999996,pLuna unused
25,2022-03-11,418884.825953,2912415.54,pLuna unused
26,2022-03-12,28830.129761,2940441.1900000004,pLuna unused
27,2022-03-13,21950.35582,2960816.38,pLuna unused
28,2022-03-14,7962.613467000001,2968413.32,pLuna unused
29,2022-03-15,52617.344118,3017156.3899999997,pLuna unused
30,2022-03-16,29293.435599,3047902.54,pLuna unused
31,2022-03-17,47485.366176,3093715.5300000003,pLuna unused
32,2022-03-18,89710.939603,3182927.96,pLuna unused
33,2022-03-19,49163.097565,3230662.15,pLuna unused
34,2022-03-20,33103.555557,3262209.3200000003,pLuna unused
35,2022-03-21,531163.970575,3713763.46,pLuna unused
36,2022-03-22,3981.6717079999944,3714406.4499999997,pLuna unused
37,2022-03-23,60625.128972,3772816.96,pLuna unused
38,2022-03-24,43917.905379,3817105.62,pLuna unused
39,2022-03-25,40823.245819,3860662.3000000003,pLuna unused
40,2022-03-26,30076.65453,3891807.79,pLuna unused
41,2022-03-27,36952.090719,3927752.3499999996,pLuna unused
42,2022-03-28,69203.300454,3993471.48,pLuna unused
43,2022-03-29,163379.071288,4149357.8700000006,pLuna unused
44,2022-03-30,49255.817192,4189816.4899999998,pLuna unused
45,2022-03-31,17841.20159,4199977.96,pLuna unused
46,2022-04-01,752.298798,4201268.35,pLuna unused
