,day,n_bonding_users,n_unbonding_users,n_users,pledge_amount,unpledge_amount
0,2022-03-10,452,52,404,700164.344009,1912049.760662
1,2022-03-12,261,32,255,670692.132348,518700.59892
2,2022-03-13,297,29,264,788627.235054,48664.664019
3,2022-03-24,397,27,350,1132569.472463,44503.983222
4,2022-03-07,1019,84,860,5192134.711109,698586.265577
5,2022-03-21,486,41,396,1588499.23588,256447.979406
6,2022-02-25,388,41,358,1775440.052275,210410.491806
7,2022-03-16,240,32,228,561339.070759,87172.009584
8,2022-02-27,238,16,224,1692748.708327,21420.626276
9,2022-03-17,378,28,320,643171.845417,114606.553738
10,2022-03-23,340,26,303,941637.857774,129824.180285
11,2022-03-03,263,37,245,1218576.168857,186903.355655
12,2022-03-14,237,34,217,1003253.515451,115038.347008
13,2022-02-24,467,30,428,4146429.074248,379312.549517
14,2022-02-28,248,25,224,1426065.767981,346590.071584
15,2022-03-06,526,40,456,3468203.908832,1134068.136415
16,2022-02-26,229,22,215,1690270.23013,293743.955079
17,2022-03-25,268,32,251,495692.771844,851068.751182
18,2022-03-04,193,23,192,632415.879985,204602.658581
19,2022-03-08,645,47,553,3152440.291388,188540.18071
20,2022-03-05,325,20,285,1165262.027406,379630.633914
21,2022-03-02,196,23,184,853665.76812,209726.954853
22,2022-02-23,756,26,660,16144312.957695,415720.362698
23,2022-03-11,348,59,328,350903.655746,207613.860114
24,2022-03-22,352,22,308,1063558.648826,41167.628398
25,2022-03-18,292,24,283,582173.916774,139256.410102
26,2022-03-15,245,29,220,684417.160491,198312.002125
27,2022-03-19,325,23,287,525890.597359,136166.900108
28,2022-03-09,652,48,580,1583939.999017,448295.6847
29,2022-03-01,287,22,276,1954138.414311,42037.621966
30,2022-03-20,353,29,306,965236.795512,163324.278328
