,Date,Amount,Type
0,2022-03-06,284931.5068493151,Normal
1,2022-03-07,569863.0136986302,Normal
2,2022-03-08,854794.5205479453,Normal
3,2022-03-09,1139726.0273972603,Normal
4,2022-03-10,1424657.5342465753,Normal
5,2022-03-11,1709589.0410958906,Normal
6,2022-03-12,1994520.5479452056,Normal
7,2022-03-13,2279452.0547945206,Normal
8,2022-03-14,2564383.5616438356,Normal
9,2022-03-15,2849315.0684931506,Normal
10,2022-03-16,3134246.5753424657,Normal
11,2022-03-17,3419178.082191781,Normal
12,2022-03-18,3704109.589041096,Normal
13,2022-03-19,3989041.095890411,Normal
14,2022-03-20,4273972.602739726,Normal
15,2022-03-21,4558904.109589041,Normal
16,2022-03-22,4843835.616438356,Normal
17,2022-03-23,5128767.123287671,Normal
18,2022-03-24,5413698.630136986,Normal
19,2022-03-25,5698630.136986301,Normal
20,2022-03-26,5983561.643835616,Normal
21,2022-03-27,6268493.150684931,Normal
0,2022-03-06,71232.87671232877,Boost
1,2022-03-07,142465.75342465754,Boost
2,2022-03-08,213698.63013698632,Boost
3,2022-03-09,284931.5068493151,Boost
4,2022-03-10,356164.38356164383,Boost
5,2022-03-11,427397.26027397264,Boost
6,2022-03-12,498630.1369863014,Boost
7,2022-03-13,569863.0136986302,Boost
8,2022-03-14,641095.8904109589,Boost
9,2022-03-15,712328.7671232877,Boost
10,2022-03-16,783561.6438356164,Boost
11,2022-03-17,854794.5205479453,Boost
12,2022-03-18,926027.397260274,Boost
13,2022-03-19,997260.2739726028,Boost
14,2022-03-20,1068493.1506849315,Boost
15,2022-03-21,1139726.0273972603,Boost
16,2022-03-22,1210958.904109589,Boost
17,2022-03-23,1282191.7808219178,Boost
18,2022-03-24,1353424.6575342466,Boost
19,2022-03-25,1424657.5342465753,Boost
20,2022-03-26,1495890.410958904,Boost
21,2022-03-27,1567123.2876712328,Boost
