,Time,Amount signed,Amount,Type
0,2022-02-14,36654.030899,36654.03,pLuna LP
1,2022-02-15,32282.07911,68936.11,pLuna LP
2,2022-02-16,2075.358385,71011.47,pLuna LP
3,2022-02-17,-6336.302653999999,64675.17,pLuna LP
4,2022-02-18,-7555.378146,57119.79,pLuna LP
5,2022-02-19,-755.5734980000001,56364.21,pLuna LP
6,2022-02-20,-4446.289777,51917.92,pLuna LP
7,2022-02-21,-3964.1015379999994,47953.82,pLuna LP
8,2022-02-22,-7383.440141,40570.38,pLuna LP
9,2022-02-23,-1835.8950769999997,38734.49,pLuna LP
10,2022-02-24,-2162.626117,36571.86,pLuna LP
11,2022-02-25,-438.06296299999974,36133.8,pLuna LP
12,2022-02-26,819.0065169999998,36952.81,pLuna LP
13,2022-02-27,-175.04625100000004,36777.76,pLuna LP
14,2022-02-28,-2711.089715,34066.67,pLuna LP
15,2022-03-01,-783.709977,33282.96,pLuna LP
16,2022-03-02,1963.26016,35246.22,pLuna LP
17,2022-03-03,1822.989215,37069.21,pLuna LP
18,2022-03-04,-782.9930350000001,36286.22,pLuna LP
19,2022-03-05,3213.2515049999997,39499.47,pLuna LP
20,2022-03-06,2395.093997,41894.56,pLuna LP
21,2022-03-07,-1487.8983600000001,40406.66,pLuna LP
22,2022-03-08,2732.845358,43139.51,pLuna LP
23,2022-03-09,1553.186648,44692.69,pLuna LP
24,2022-03-10,978.7115529999999,45671.41,pLuna LP
25,2022-03-11,648.4186569999998,46319.82,pLuna LP
26,2022-03-12,804.4794449999999,47124.3,pLuna LP
27,2022-03-13,1575.160006,48699.46,pLuna LP
28,2022-03-14,365.6767259999999,49065.14,pLuna LP
29,2022-03-15,3874.271253,52939.41,pLuna LP
30,2022-03-16,-1452.7126509999998,51486.7,pLuna LP
31,2022-03-17,1672.367737,53159.07,pLuna LP
32,2022-03-18,498.51014899999996,53657.58,pLuna LP
33,2022-03-19,1428.9170290000002,55086.49,pLuna LP
34,2022-03-20,1556.389093,56642.88,pLuna LP
35,2022-03-21,79609.82163,136252.71,pLuna LP
36,2022-03-22,3338.682407,139591.39,pLuna LP
37,2022-03-23,2214.6243700000005,141806.01,pLuna LP
38,2022-03-24,-370.7664139999997,141435.25,pLuna LP
39,2022-03-25,-2733.427604,138701.82,pLuna LP
40,2022-03-26,-1068.8365330000001,137632.98,pLuna LP
41,2022-03-27,1007.5324610000001,138640.51,pLuna LP
42,2022-03-28,3484.1641670000004,142124.68,pLuna LP
43,2022-03-29,7492.679853000001,149617.36,pLuna LP
44,2022-03-30,8797.206517999999,158414.56,pLuna LP
45,2022-03-31,7961.78714,166376.35,pLuna LP
46,2022-04-01,-864.2131949999998,165512.14,pLuna LP
47,2022-04-02,536.1648619999999,166048.3,pLuna LP
48,2022-04-03,18366.690521,184414.99,pLuna LP
49,2022-04-04,33956.647992,218371.64,pLuna LP
50,2022-04-05,19819.866367000002,238191.51,pLuna LP
51,2022-04-06,31925.658695000002,270117.17,pLuna LP
52,2022-04-07,8459.897018,278577.06,pLuna LP
53,2022-04-08,25255.956148,303833.02,pLuna LP
54,2022-04-09,12789.26745,316622.29,pLuna LP
55,2022-04-10,40414.989705,357037.28,pLuna LP
56,2022-04-11,23606.957222,380644.23,pLuna LP
57,2022-04-12,35466.667524,416110.9,pLuna LP
58,2022-04-13,26833.105168000002,442944.01,pLuna LP
59,2022-04-14,11964.265729,454908.27,pLuna LP
60,2022-04-15,968.1858619999998,455876.46,pLuna LP
61,2022-04-16,4840.059845,460716.52,pLuna LP
62,2022-04-17,8778.039445,469494.56,pLuna LP
63,2022-04-18,6052.9404589999995,475547.5,pLuna LP
64,2022-04-19,-217.428632,475330.07,pLuna LP
